index,문자내용
71,엄마 바빠?나 지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놨던 문자나라로 문자하고있어 피씨용이라 문자만 가능해 부탁이있어서 문자했어 엄마 확인하는대로 답장줘
72,엄마
73,나 지금 휴대폰 액정이 나가서 매장에 수리말기고 컴퓨터로 카톡하고 있어
74,급한데톡좀줘요
75,엄마
76,엄마지금바빠?
77,엄마~ 나폰 떨어뜨려 액정 나가서 수리맡겼어..이 번호가 임시폰이라 통화 안되고 문자만 가능해~ 부탁할 거 있으니 답장줘~
78,엄마
79,문화상품권구매 부탁을 이미 받아뇌서 입금도 받은 상태인데 지금 폰이 고장나서
80,내꺼로 인증이 안돼 엄마가 우선 먼저 구매해줄래?
81,아빠 나 지금 폰이 액정이깨져서 센터에 수리맡기고 전에 만들엇던 문자나라 접속했어 통화는 안되니깐 문자로 하는거야 지금 급하게 부탁이 있어서 그래 문자보면 답장줘~
82,엄마 바빠?나 지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놨던 문자나라로 문자하고있어 피씨용이라 문자만 가능해 부탁이있어서 문자했어 엄마 확인하는대로 답장줘
83,엄마 이 링크 클릭해서 설치하고 열기하면 귀하의 아이디라고 9자리로 된 숫자가 보여 그 숫자 나한테 문자로 알려줘
84,엄마 난데 폰 액정이 깨져서 센터 맡겼어 전에 가입했던 피씨용 문자나라로 문자하고 있어 확인 하면 답장해줘
85,엄마 바빠 ?
86,나폰액정나가서 수리 맡겼어
87,폰수리맡기고 컴퓨터로 접속했어ㅠㅠ
88,저녁쯤 되어야 폰 찾을수 있대
89,엄마
90,지금 인터넷 뱅킹가능해 ?
91,일땜에 돈보낼곳이 있는데 공인인증이 안되서 그래
92,폰찾는대로 바로 보내줄께
93,엄마~ 나폰 떨어뜨려 액정나가서 수리맡겼어..이번호가 임시폰이라 통화 안돼고 문자만 가능해~ 부탁할꺼 있으니 답장줘~
94,엄마나 폰떨어 뜨른데 액정이 깨져서 맡겼어 지금 통화가 안돼서 피씨로 문자하는거야 부탁할거있어 여기로 문자줘
95,폰떨어뜨려서 액정 나갔어 .. 내일 폰수리 끝나고 찾을수 있어
96,엄마꺼로 인증받고 해도돼?
97,엄마 나 지금 인터넷으로 회원가입하고 구매할거 있는데 폰 고장나서 못하고 있어~
98,엄마 나 아까 급히 편의점 갈려다가 폰떨어뜨렸어 휴대폰 액정나가서 AS센터에 맡기고 인터넷으로 문자보내는거야 부탁할 거 있어서 그러는데 보면 문자줘
99,엄마 나지금 폰수리중이야 잠시 인터넷으로 메시지 보내고 있어 나 지금 급히 구글 기프트상품권 필요하는데 폰때문에 구매를 못하고 있어
100,엄마 폰떨어뜨려 액정나갔어 임시폰받은건데 문자만가능 부탁할거있어 문자줘
101,엄마. 전에 이마트 상품권 신정한 거 있는데 내가 폰 인증이 안돼 인증 지금 다시 하고 받아야 돼서 엄마 대신 인증 좀 해줘
102,계좌 인증하고 받아야돼서 엄마 어느은행계좌있어? 잔액없어도가능
103,엄마 아무은행에서 사용하는 계좌번호 알려줘 잔액 필요없고 인증만 받으면돼
104,엄마 내가 지금 인증해야돼
105,엄마 내가 지금 인증해야돼.아무은행에서 사용하는 계좌번호 여기로 숫자로 알려주면 돼.잔액은 필요없고 인증만 받으면 돼.
106,엄마한테 부탁할꺼 있는데 시간돼?
107,이거 문자나라로 예전에 가입해놨던 번호야 통화가안되고 문자만 가능해
108,엄마 편의점가서 구글기프트카드 20만원권 4장만 먼저 구매해줘
109,내일 폰 수리 끝난다고 하니까 그때 폰 찾고 바로 이체해줄게
110,엄마 나야 폰 액정 나가서 센터에 수리 맡기고 급한 대로 예전에 내 명의로 가입해놨던 문자나라로 문자하고 있어 피씨용으로 문자만 가능해 부탁이 있어서 문자했어 확인되는 대로 답 줘
111,엄마 다름아니라 지금 상품권 좀 필요한데 엄마 대신 먼저 구매해줄수있어?
112,알았어 그럼..ㅠ 해결볼게
113,엄마바빠? 폰액정이 나가서 인터넷 문자로 보내고 있어 급하게 부탁 할 일이 있는데 보면 답장줘
114,[Web 발신] 엄마. 이거 돈버는거야 구글기프트 15만원권 18만원에 온라인으로 팔고있거든 없어서 못팔정도야
115,아빠 나 폰 고장나서 AS 맡기고 문자캐슬싸이트로 문자하고 있어 부탁할게 있으니 문자줘…
116,아빠 나 폰 액정깨져서 수리맡기고 임시폰으로 문자했어 보면 답장줘요
117,임시폰이라 통화제한이 깔려있어서 아직은 문자랑 인터넷 밖에 안되요 ㅠ지금 바빠요? 부탁 하나만 해도 될까요 ?
118,혹시 민증이랑 신용카드 갖고있어요? 폰보험청구 해야 되는데 폰 인증이 안되서 잠깐 확인 인증받아야 될거 같은데
119,알겠어 편의점에 아마 다 판매 할거야
120,엄마 나야 폰 고장이라서 수리 맡기고 부탁할 거 있어서 문자했어 지금 컴터로 피씨용 문자나라로 사용하고 있어 메세지 글 보면 답장줘~
121,엄마 나 폰 액정깨졌어 이 번호 사용하니깐 문자 확인 하면 답장줘..
122,엄마 나 폰 고장나서 수리 맡겼어. 피시용이라 문자안 가능해. 뭔일 있으면 이쪽으로 문자줘~
123,아빠~핸드폰 고장나서 수리중이야 이 번호로 카톡추가하고 톡줘 새로만든 카톡이야 부탁할 거 좀 있어~
124,아빠 부탁할거 좀 있어 그러는데 폰 고장이라 통화가 안돼 이번호로 톡추가하고 톡줘
125,아빠 나 휴대폰 액정 나가서 as센터에 맡겼어. 폰이 없어서 통화가 안되니까 사이트에서 문자 보내는거야 부탁할 거 있어서 그러는데 보면 문자줘
126,엄마 지금바빠? 내 폰 액정나가서 수리맡기고 피씨로 문자하고 있어 시간되면 답장줘
127,"엄마, 나 딸 ^^"
128,아침에 출근하다가 핸드폰 액정이 깨져서 대리점에 맡겼더니 급한 연락할 때만 쓰라고 빌려줬어. 문자랑 카톡만 돼
129,엄마 나 휴대폰 고장나서 가까운 센터에 수리맡기고 급한대로 전에 가입했던 문자나라에서 보내는거야. 전화는 안되니깐 문자줘~
130,엄마 뭐해.….?지금 폰액정 나가서 폰 센터에 맡기고 피시로 전에 가입했던 문자나라로 문자중이야ㅜㅜ 문자 확인되면 답장줘
131,급하게 다니다가 폰 떨어뜨렸어 ㅠㅠ
132,엄마 난데 폰 액정 고장나서 지금 피씨용 문자 어플로 하고있어. 문자 보면 답장줘ㅠㅠ
133,"엄마 나 휴대폰 교장나서 수리중이야 급히 인증 받을거 있어서 피씨용으로 문자했어. 피씨용이라 문자만 가능해, 문자보면 답장줘"
134,아니 엄마가 올 필요없어 그냥 편의점가서 사고 문자주면돼 ㅠㅠㅠ 어려울거없어
135,지마켓 쿠폰이랑 교환한다고
136,"[국외발신] okmall [해외배송] 3월 14일 975,000원 결제완료"
137,엄마 나야 폰 고장이라서 수리 맡기고 부탁할 거 있어서 문자했어 지금 컴퓨터로 피씨용 문자나라로 사용하고 있어 메시지 글 보면 답장 줘~
138,엄마 나야. 폰 화면 고장나서 수리보냈어ㅠ ㅠ 이 번호로 카톡추가하고 톡줘
139,[Web 발신] 엄마~ 내 폰 땅에 떨궈 전원이 안 켜져~지금 바빠? 급하게 할 거 있는데~ 여기로 문자 줘~
140,어머님이 자녀님 보험 점검 좀 해달라고 하셔서~ 연락드렸어용~ 제가 본안인증을 받아야~ 전산으로 조회가 가능해서요~ 문자로 가는 숫자6자리 알려주시면 되거든요~ 가능하실때 연락주세요 ^^
141,[Web발신] 엄마 난데 여기로 답장 줘 핸드폰액정 고장나서 수리맡겼어
142,"[주문하신 결제금액] 코드번호 3*5* KRW 963,200 결제가 완료되었습니다"
143,방금 수신한 문자메시지는 해외에서 발송되었습니다.
144,"[국외발신] =해외 구매= 승인코드: 7**4 [KRW 959,000] 결제승인완료 "
145,"[Web발신] (주)다날 인증번호 38**** 300,.000원 구메완료 본인아닐 경우"
146,엄마 바빠? 휴대폰 고장나서 센터에 수리말기고 피씨 문자나라로 보내는거야 통화는 안되고 문자만 가능해 확인하는대로 문자줘
147,아빠 나 폰액정 나가서 수리 맡겼어 이번호가 임시사용하는거라 문자만 가능해 부탁할거있으니 답해줘
148,아빠 나 폰 고장나서 센터에 맡겼어 문자보면 답장줘
149,[쇼핑365] xxx님 해외구매517** USD390$ 구매완료 본인 아닌 경우 소비자센터 문의
150,방금 수신한 문자메시지는 해외에서 발송되었습니다.
151,엄마 나야 폰 액정 나가서 수리맡겼어.보험처리 가능한데 수리맡겨서 인증번호를 못받아 엄마폰으로 받아도돼?
152,폰수리 맡기고 컴퓨터로 임시 무료문자하고 있는거라 통화가 안돼 ㅠㅠ
153,엄마 나 폰 고장나서 매장에 수리 맡기고 지금 전에 문자나라 나의 명의로 가입한거로 문자하고있어 pc용이란 문자만 가능해 부탁할 거 있어서 문자했어 문자줘 엄마
154,엄마 나 폰 액정이 나가서 수리 맡겼어 이 번호가 임시사용하는거라 문자만 가능해 부탁할거있으니 답해줘.[M1]
155,엄매 나 지금 매장에 있어 액정때문에 보험 가입하고 통신사 인증받아야 하는데 인증번호확인이 안돼서 엄마명의로 해야돼.[M1]
156,엄마 안 와도 돼 10분이면 끝나 빨리 수리 맞겨야해[M1]
157,엄마 나야 폰 액정나가서 수리맡겼어 보험처리 가능한데 인증번호를 못받아. 엄마폰으로 받아도돼?
158,엄마 내꺼 핸드폰 액정나가서 A.S 센터에 맡겼어~ 임시폰으로 문자했어 이번호로 통화안돼 문자확인하면 여기로 답장줘
159,"[국외발신] [주문하신 결제금액] 코드번호 3*8* KRW 963,200 결제가 완료되었습니다"
160,아빠 나 폰액정깨져서 A.S 맡기고 임시폰 대리받아 연락했어 통화안되니까 문자 확인하면 답장줘
161,엄마~ 나 폰 떨어뜨려 액정 나가서 수리맡겼어.. 이 번호가 임시폰이라 통화 안되고 문자만 가능해~ 부탁할 거 있으니 답장줘~
162,엄마 나 폰 떨어 뜨렸는데 액정이 깨져서 as맡겼어 지금 통화가 안 돼서 피씨로 문자하는거야 부탁 할 거 있어 여기로 문자줘
163,엄마 바빠? 폰 고장났어ㅜ pc로 문자만 가능한 상황이라 바쁜거 아니면 답장해줘~
